feature1,feature2,label
-7.459199765093199,6.4797112053476384,3
-10.115891162681155,-6.945263433097321,2
7.267642356089308,1.0032117415145503,1
-2.9797274068113393,7.258068190439779,0
-5.438170484554536,-7.369800040901808,2
-5.883224211298176,-7.907410184366587,2
-5.766226310713456,7.208251035829123,3
-6.555079000215463,-6.940395324614911,2
3.3587343209689884,1.8023143019151797,1
-7.629409484386085,-6.848800333022946,2
3.8639913751370694,0.6753120796034582,1
-1.1188829282438653,8.029467346176268,0
7.199518885815621,-0.36933567548627,1
-1.82412901022095,10.376964896415041,0
-6.531897362875575,-4.38962863490142,2
5.909988220447607,-0.13731769976700514,1
-2.5956097689491506,10.21852560566875,0
-10.18559418251077,7.782414610919564,3
-8.7395869695055,8.602099365577125,3
-3.836799591859984,7.578838179301517,0
2.961597747645132,2.648732767969417,1
-2.2585613090470438,6.662681979542591,0
5.331747191895021,2.3466698693929753,1
-6.959698921554802,7.244622602211118,3
-9.374048094096644,7.556430906976672,3
-6.406284620297314,-7.385290970260262,2
-7.1855998520562965,-5.075318006976721,2
-7.895367566255012,7.834071989640661,3
-8.5178674375929,8.391079870246827,3
-1.3643955068609075,9.79595562976528,0
-6.9189311154104685,-7.532219318636464,2
-1.5341666361797126,10.641774162483308,0
-3.697841213209576,8.334728852674996,0
-4.103020881730867,9.25051961124127,0
-6.4342521431057,-7.604891817334932,2
-7.166364847390962,-7.969185987725864,2
3.6532143615483834,2.265594337731027,1
2.7121432519190147,2.2173260469813996,1
-8.89768420821893,8.133306306098628,3
-7.65714087846411,7.066736302428092,3
-8.067152975461568,-7.031053897395524,2
6.206453404813296,1.9983742939000428,1
-2.7728038884577644,9.442821214012417,0
-1.559959286601094,7.923021182444635,0
0.06353528413764042,9.774988954979936,0
6.613840092429641,1.674326436473078,1
4.505085176599105,1.7080061645008644,1
5.49381668993477,0.6235991737352891,1
-7.735042130363867,-6.7523933200456705,2
-9.459461315479416,7.592068457465381,3
-9.088676268749245,-8.415601953358788,2
-3.2312455577280264,11.237019949609046,0
-9.837154444361085,7.889221583162388,3
-6.258436366588322,-7.751002169060105,2
5.049986007160693,4.224574690999795,1
-3.724594967454059,9.39138292731265,0
-2.389615984947581,8.410115343258882,0
-8.946010589780682,9.05166357403807,3
-6.5436648395674855,-8.230696450033998,2
-10.451668369877142,6.221140579717665,3
-9.459073896756458,9.014739843721399,3
-1.8911553024023586,9.630829269292972,0
-7.6618305205138615,-6.8232311876962495,2
-8.72298282430683,6.7687925690526525,3
4.341121858053214,3.1390548250859585,1
-8.212318205710265,-4.7773850611676,2
-6.113316240618421,-8.873933667998699,2
-9.381095339734902,4.414867723543955,3
4.723641338216124,1.5107933677066199,1
-6.8214012376174775,-7.877249732969192,2
4.50243102192496,3.458549258308886,1
-6.596889721420991,-5.955071360611586,2
-5.478288717159502,-6.574804581314491,2
-8.684602458743063,6.506260926528846,3
-3.385637581113314,9.274036435696692,0
-9.649998519107134,9.484651434991681,3
-1.5329769622091465,7.5372489484775755,0
-7.568021599407554,-7.536340322764417,2
5.135396581358851,1.2967002205759623,1
-3.525350084734836,7.196469458575284,0
-6.488267564460728,-8.38144588493831,2
5.388822616690687,2.7271842950578677,1
-7.828196537685645,-6.314347564712752,2
-1.1378102456347257,9.91660576742245,0
-10.739011144818878,8.23602050287186,3
-10.668957961745697,6.49323323164121,3
-9.504567188667849,9.58091139882741,3
-8.063746739266719,9.919428583465255,3
3.975499669811483,0.535716212834114,1
-2.075234392995589,8.240142422672172,0
-8.609008875012126,7.379246773286082,3
-6.243862177652931,-5.150227248486466,2
3.432657978428459,0.5161433485954534,1
-6.77571944618379,-7.066922275746442,2
5.038655650603611,1.0749858400728676,1
-9.373747876493747,5.056074038364066,3
-1.5227254310593623,11.290437707383058,0
3.4620684549705603,2.5276938530566566,1
-2.0755228964426533,10.859930007957484,0
-7.829555497849541,6.540374140335834,3
4.511442404282632,0.7308788970374831,1
4.776099650529599,2.7677264933659877,1
6.5430990156025235,0.48779108534851323,1
-8.880313945232365,9.448483678261315,3
-8.310310416572012,6.72105784627557,3
-2.43934716091755,7.6427217708015736,0
-3.367562074164712,9.829803426919932,0
-10.575944437135503,4.684955767554605,3
-4.939368727041879,9.238031305921634,0
-9.359723229554788,6.952516367336336,3
-8.346180561821605,-6.024511477069081,2
-9.998699128391065,7.266269288128328,3
-8.491325383946629,10.269883083391775,3
-8.571767230675555,6.749024569502531,3
-8.322785893676908,7.572748140094436,3
-9.014091489836405,-5.084856419488927,2
3.5275622703344016,1.9017392566665718,1
-8.638585106780344,7.914464432308482,3
-8.094152441463471,-8.86593759951487,2
-7.168017668941032,-7.329894562335464,2
-1.9413124735644964,8.926891433010073,0
6.035675338814053,1.9854493571642364,1
-7.571752787833269,-5.9736401222850395,2
3.728919642363664,2.153642227712181,1
-6.981321515039936,9.47857612321333,3
6.4427072987433345,2.0620834204444622,1
3.6450848231216146,1.3009524357043687,1
-7.430860270599563,-7.899922836633697,2
-8.176903184271147,-6.14098686494283,2
-8.545766900110571,6.646628558614629,3
-8.067060444794958,8.918505951657622,3
4.7570901544867,1.0455579433141722,1
2.1589483161802496,1.866225636525386,1
-5.770794768102989,-7.101992157007533,2
5.4680516262814365,1.4917051176777285,1
-8.952682395500354,7.65834874642311,3
-8.108851944976163,7.547453863286333,3
-9.038869453016236,7.49957933921869,3
2.0912039670563334,1.3422636579238187,1
3.6492822000770877,1.58750667395714,1
-6.013620714299388,-8.234971718736622,2
-6.977727165259118,6.125498066612154,3
5.751291893266071,4.264469652504888,1
4.0746328694861145,2.2516296087698957,1
-6.6745886653977395,-7.100889596899162,2
-9.868357092853467,8.163894770789494,3
-9.603192309403832,8.750342752827766,3
-3.1449098675731966,9.630207047934348,0
-2.5508517466990424,7.611872483054883,0
-3.9935384761064485,7.42973819249719,0
-7.191136812787596,-8.683881137017675,2
-7.509051510686999,-6.2928601198024445,2
4.023238535424069,0.7021134576739902,1
2.5841174013190487,3.5978165329392273,1
-2.301380512031332,9.476666983872926,0
-9.103484765231608,7.3557859222921405,3
-2.2522851300965057,7.519399593743936,0
-7.600114309273648,5.540850467854337,3
-6.474503996661028,-7.374361952622907,2
-7.79553817900229,-9.04596811407337,2
-6.07965000829291,6.888116642971112,3
-8.927647871556065,8.068329432559517,3
5.7193986867480024,2.3419291089926633,1
4.756273994219363,2.6873581144650283,1
-6.5723915099746195,-5.70088041254133,2
-3.4365878804978363,8.73010380011031,0
3.9326411278950477,2.9926922003659615,1
-6.857525136123808,-4.868384818545607,2
-9.710892367625853,7.026500552836898,3
-10.470155125811914,8.219027194731368,3
-5.644640426360498,-6.3129926143802955,2
-2.111681505368473,10.184940280745153,0
-2.200137154185433,8.92495102927892,0
-8.602502352994247,8.174327424604918,3
-8.594820131614451,5.504629977502025,3
-3.6788156273255357,9.958787652689264,0
-2.552188869984692,10.891858515175128,0
-8.882913528496916,-6.2280773624200245,2
-6.2785265660020135,-8.053175887034207,2
-6.120288951823729,-4.155278163910672,2
-2.236245701527795,10.582857433337235,0
-8.12954195980524,8.653967212198193,3
-0.24577454160011403,9.223779503596528,0
-2.404741141166945,8.65547730763928,0
-6.622363361378811,6.03942119590732,3
-9.509033973361916,7.7761771655761285,3
0.03738981336240954,10.253244440859698,0
5.414329975730278,3.6155275529795503,1
-2.503061475081797,8.732781568148145,0
-6.510265068480799,-8.932311664463898,2
-7.312786590134166,-5.488913829238849,2
-8.539067336183104,9.216466851214872,3
-7.712387189464813,6.704269241637855,3
-7.724839619802581,-8.570263148912218,2
-4.022258368254804,10.115720464664053,0
-5.384324960154116,-9.368177872165726,2
